"","AAA","w1","w2","w3","w4","w5","w6","w7","w8","w9","w10","w11","w12","w13","w14","w15","w16"
"1","The fireman was heaving himself through the barrier course.","The","fireman","was","heaving","himself","through","the","barrier","course.",NA,NA,NA,NA,NA,NA,NA
"2","The boyfriend was reprimanding himself for making such a mistake.","The","boyfriend","was","reprimanding","himself","for","making","such","a","mistake.",NA,NA,NA,NA,NA,NA
"3","The guy was planning to place himself in command.","The","guy","was","planning","to","place","himself","in","command.",NA,NA,NA,NA,NA,NA,NA
"4","The cowboy was getting a seat for himself from the stable.","The","cowboy","was","getting","a","seat","for","himself","from","the","stable.",NA,NA,NA,NA,NA
"5","The actor was trying to calm himself before going on stage.","The","actor","was","trying","to","calm","himself","before","going","on","stage.",NA,NA,NA,NA,NA
"6","The king hashave exposed himself as a cheater.","The","king","hashave","exposed","himself","as","a","cheater.",NA,NA,NA,NA,NA,NA,NA,NA
"7","The guy was not willing to incriminate himself in court.","The","guy","was","not","willing","to","incriminate","himself","in","court.",NA,NA,NA,NA,NA,NA
"8","The boyfriend doesdo find himself bored by Smalltalk.","The","boyfriend","doesdo","find","himself","bored","by","Smalltalk.",NA,NA,NA,NA,NA,NA,NA,NA
"9","The father was making himself some beautiful clothes.","The","father","was","making","himself","some","beautiful","clothes.",NA,NA,NA,NA,NA,NA,NA,NA
"10","The nobleman was planning to commission a statue of himself for the park.","The","nobleman","was","planning","to","commission","a","statue","of","himself","for","the","park.",NA,NA,NA
"11","The man was trying to paint himself before dying.","The","man","was","trying","to","paint","himself","before","dying.",NA,NA,NA,NA,NA,NA,NA
"12","The man was eager to excuse himself from the table.","The","man","was","eager","to","excuse","himself","from","the","table.",NA,NA,NA,NA,NA,NA
"13","The husband was gorging himself on apple and peach pies.","The","husband","was","gorging","himself","on","apple","and","peach","pies.",NA,NA,NA,NA,NA,NA
"14","The boy was trying to motivate himself for the big game.","The","boy","was","trying","to","motivate","himself","for","the","big","game.",NA,NA,NA,NA,NA
"15","The man was pretending to trip over himself during the performance.","The","man","was","pretending","to","trip","over","himself","during","the","performance.",NA,NA,NA,NA,NA
"16","The boy was excited about cooling himself off in the lake.","The","boy","was","excited","about","cooling","himself","off","in","the","lake.",NA,NA,NA,NA,NA
"17","The man was steadying himself against the bar.","The","man","was","steadying","himself","against","the","bar.",NA,NA,NA,NA,NA,NA,NA,NA
"18","The husband was overworking himself just to make a proper living.","The","husband","was","overworking","himself","just","to","make","a","proper","living.",NA,NA,NA,NA,NA
"19","The boy was cleaning himself at the lake.","The","boy","was","cleaning","himself","at","the","lake.",NA,NA,NA,NA,NA,NA,NA,NA
"20","The congressman was fixing himself a drink.","The","congressman","was","fixing","himself","a","drink.",NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","The fireman was honoring himself with a party.","The","fireman","was","honoring","himself","with","a","party.",NA,NA,NA,NA,NA,NA,NA,NA
"22","The man was helping himself with bacon and eggs.","The","man","was","helping","himself","with","bacon","and","eggs.",NA,NA,NA,NA,NA,NA,NA
"23","The grandson was ready to buy himself new clothes.","The","grandson","was","ready","to","buy","himself","new","clothes.",NA,NA,NA,NA,NA,NA,NA
"24","The fireman was pulling himself from the fire.","The","fireman","was","pulling","himself","from","the","fire.",NA,NA,NA,NA,NA,NA,NA,NA
"25","The boy was kissing himself on the arm for practice.","The","boy","was","kissing","himself","on","the","arm","for","practice.",NA,NA,NA,NA,NA,NA
"26","The boy was unable to defend himself against the bad man.","The","boy","was","unable","to","defend","himself","against","the","bad","man.",NA,NA,NA,NA,NA
"27","The man was is kidding himself with the comeback plan.","The","man","was","is","kidding","himself","with","the","comeback","plan.",NA,NA,NA,NA,NA,NA
"28","The man was restricting himself to three cigarettes a day.","The","man","was","restricting","himself","to","three","cigarettes","a","day.",NA,NA,NA,NA,NA,NA
"29","The cowboy was preparing himself for the competition.","The","cowboy","was","preparing","himself","for","the","competition.",NA,NA,NA,NA,NA,NA,NA,NA
"30","The boy was willing to subject himself to the experiments.","The","boy","was","willing","to","subject","himself","to","the","experiments.",NA,NA,NA,NA,NA,NA
"31","The lady was enjoying herself on the trip.","The","lady","was","enjoying","herself","on","the","trip.",NA,NA,NA,NA,NA,NA,NA,NA
"32","The hostess was pouring herself some water.","The","hostess","was","pouring","herself","some","water.",NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","The cowgirl was surprising herself with success.","The","cowgirl","was","surprising","herself","with","success.",NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","The girl was establishing herself as a future professional.","The","girl","was","establishing","herself","as","a","future","professional.",NA,NA,NA,NA,NA,NA,NA
"35","The sportswoman was right to pride herself on her abilities.","The","sportswoman","was","right","to","pride","herself","on","her","abilities.",NA,NA,NA,NA,NA,NA
"36","The woman was not keen on devoting herself to a life of moderation.","The","woman","was","not","keen","on","devoting","herself","to","a","life","of","moderation.",NA,NA,NA
"37","The waitress was able to pour some coffee for herself after work.","The","waitress","was","able","to","pour","some","coffee","for","herself","after","work.",NA,NA,NA,NA
"38","The hostess was injecting herself with a dirty needle.","The","hostess","was","injecting","herself","with","a","dirty","needle.",NA,NA,NA,NA,NA,NA,NA
"39","The sister was flying herself to Paris for a weekend.","The","sister","was","flying","herself","to","Paris","for","a","weekend.",NA,NA,NA,NA,NA,NA
"40","The girl was describing herself as shy and awkward.","The","girl","was","describing","herself","as","shy","and","awkward.",NA,NA,NA,NA,NA,NA,NA
"41","The actress was starting to write a book about herself and the times she lived through.","The","actress","was","starting","to","write","a","book","about","herself","and","the","times","she","lived","through."
"42","The housewife was throwing herself into the housework.","The","housewife","was","throwing","herself","into","the","housework.",NA,NA,NA,NA,NA,NA,NA,NA
"43","The woman writer was committing herself to write more books.","The","woman","writer","was","committing","herself","to","write","more","books.",NA,NA,NA,NA,NA,NA
"44","The lady was mumbling to herself in church.","The","lady","was","mumbling","to","herself","in","church.",NA,NA,NA,NA,NA,NA,NA,NA
"45","The woman was building herself a house.","The","woman","was","building","herself","a","house.",NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","The girl was unable to stop herself before the trees.","The","girl","was","unable","to","stop","herself","before","the","trees.",NA,NA,NA,NA,NA,NA
"47","The female employer was going to assign herself to the job.","The","female","employer","was","going","to","assign","herself","to","the","job.",NA,NA,NA,NA,NA
"48","The lady was gathering flowers for herself in the morning.","The","lady","was","gathering","flowers","for","herself","in","the","morning.",NA,NA,NA,NA,NA,NA
"49","The star was unable to disguise herself with a  false hair","The","star","was","unable","to","disguise","herself","with","a","","false","hair",NA,NA,NA,NA
"50","The girl was introducing herself to attractive people.","The","girl","was","introducing","herself","to","attractive","people.",NA,NA,NA,NA,NA,NA,NA,NA
"51","The girl was building herself a fire.","The","girl","was","building","herself","a","fire.",NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","The actress was excited about watching herself on TV.","The","actress","was","excited","about","watching","herself","on","TV.",NA,NA,NA,NA,NA,NA,NA
"53","The girl was proud of herself for taking the math test.","The","girl","was","proud","of","herself","for","taking","the","math","test.",NA,NA,NA,NA,NA
"54","The wife was starting to feel herself get really angry.","The","wife","was","starting","to","feel","herself","get","really","angry.",NA,NA,NA,NA,NA,NA
"55","The girl was examining herself in the mirror.","The","girl","was","examining","herself","in","the","mirror.",NA,NA,NA,NA,NA,NA,NA,NA
"56","The milkmaid was forcing herself to clean up.","The","milkmaid","was","forcing","herself","to","clean","up.",NA,NA,NA,NA,NA,NA,NA,NA
"57","The mother was concerned for herself because of all the disease around.","The","mother","was","concerned","for","herself","because","of","all","the","disease","around.",NA,NA,NA,NA
"58","The woman was repeating herself in lectures.","The","woman","was","repeating","herself","in","lectures.",NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","The girl was known for burdening herself with the problems of others.","The","girl","was","known","for","burdening","herself","with","the","problems","of","others.",NA,NA,NA,NA
"60","The actress was trying not to embarrass herself on stage.","The","actress","was","trying","not","to","embarrass","herself","on","stage.",NA,NA,NA,NA,NA,NA
